relative_sec,EEG1,EEG2,EEG3,EEG4
0,-1437.260383,-1610.44019,-1422.874857,-1839.383776
0.005,-1434.275942,-1608.914311,-1420.645877,-1841.309824
0.01,-1411.114742,-1597.746969,-1408.738036,-1839.107023
0.015,-1433.449424,-1615.612472,-1423.918289,-1839.271579
0.02,-1433.299828,-1603.166084,-1416.236535,-1819.573525
0.025,-1434.990263,-1606.030848,-1417.515581,-1814.203029
0.03,-1438.457151,-1605.383845,-1417.713795,-1801.315334
0.035,-1431.040929,-1605.439944,-1416.980775,-1812.527554
0.04,-1425.906046,-1610.847839,-1412.246062,-1824.678489
0.045,-1418.396327,-1604.400251,-1409.822606,-1813.137158
0.05,-1436.467524,-1604.579767,-1418.065346,-1818.088785
0.055,-1437.439898,-1596.161252,-1424.64009,-1831.025099
0.06,-1441.022722,-1592.383953,-1420.223268,-1829.214988
0.065,-1440.824507,-1606.487116,-1418.091525,-1829.779712
0.07,-1433.62894,-1614.247408,-1424.729848,-1829.693695
0.075,-1414.495611,-1602.537781,-1415.320259,-1802.613079
0.08,-1405.243099,-1605.050994,-1412.971602,-1813.507408
0.085,-1412.348909,-1600.394819,-1417.048093,-1810.186377
0.09,-1417.1846,-1597.601113,-1417.92697,-1814.54336
0.095,-1414.289917,-1603.420398,-1423.52934,-1815.037027
0.1,-1409.435527,-1605.929871,-1420.286847,-1817.673656
0.105,-1410.112449,-1596.666138,-1410.600506,-1797.309901
0.11,-1414.207639,-1606.199143,-1414.662037,-1806.70453
0.115,-1415.572703,-1599.493503,-1407.488909,-1811.435503
0.12,-1417.857782,-1597.062568,-1409.590733,-1809.565553
0.125,-1418.048516,-1598.068601,-1416.651664,-1812.927723
0.13,-1414.686346,-1597.283222,-1418.529094,-1814.685476
0.135,-1401.241406,-1591.056288,-1416.247755,-1804.554087
0.14,-1398.46266,-1596.823214,-1407.260775,-1806.633472
0.145,-1386.52864,-1594.081867,-1396.908732,-1808.088293
0.15,-1392.789232,-1589.380813,-1397.077027,-1804.243676
0.155,-1391.682222,-1595.349694,-1396.037335,-1811.835672
0.16,-1396.817104,-1594.00333,-1402.59712,-1805.844353
0.165,-1375.611872,-1597.788108,-1397.204184,-1828.807338
0.17,-1391.981414,-1596.131333,-1405.862052,-1829.016773
0.175,-1396.214981,-1584.305769,-1394.679752,-1808.338866
0.18,-1402.613949,-1593.367547,-1395.723184,-1814.730355
0.185,-1404.536258,-1584.447885,-1402.97111,-1809.408477
0.19,-1399.180721,-1589.152679,-1396.897512,-1805.5676
0.195,-1411.739305,-1590.061475,-1394.238443,-1818.466515
0.2,-1418.717959,-1584.919113,-1405.510502,-1813.690663
0.205,-1406.282791,-1593.416165,-1410.978236,-1817.007954
0.21,-1399.767885,-1600.256442,-1403.419898,-1807.998535
0.215,-1391.158636,-1592.365253,-1413.80186,-1802.975849
0.22,-1386.573518,-1591.624753,-1408.132172,-1800.107346
0.225,-1392.374103,-1594.627893,-1403.618112,-1804.44189
0.23,-1399.083484,-1590.229771,-1404.45959,-1802.332587
0.235,-1397.796958,-1598.629586,-1413.252095,-1795.563368
0.24,-1405.519852,-1590.787016,-1420.53368,-1812.377958
0.245,-1399.805284,-1598.154619,-1414.748055,-1803.050647
0.25,-1391.932795,-1590.196111,-1414.145931,-1793.338127
0.255,-1385.735781,-1590.671079,-1408.057374,-1795.626946
0.26,-1384.165023,-1586.52353,-1396.572141,-1792.743483
0.265,-1379.007701,-1589.646346,-1397.398659,-1805.19361
0.27,-1385.511387,-1593.61438,-1402.735496,-1798.158858
0.275,-1374.949909,-1576.302383,-1402.440044,-1795.499789
0.28,-1379.217135,-1596.344507,-1398.726323,-1796.790055
0.285,-1379.471448,-1587.873634,-1397.836227,-1793.502683
0.29,-1373.44647,-1594.257643,-1399.23121,-1796.464684
0.295,-1390.003007,-1601.127839,-1404.141698,-1805.55638
0.3,-1391.633603,-1590.592541,-1408.767955,-1807.620805
0.305,-1399.076004,-1594.489517,-1402.641999,-1817.707315
0.31,-1400.272772,-1593.057135,-1404.964476,-1822.939435
0.315,-1395.639036,-1578.217212,-1402.365246,-1806.962583
0.32,-1398.780552,-1590.674819,-1405.357166,-1815.579312
0.325,-1396.921822,-1588.303722,-1402.518582,-1805.702237
0.33,-1406.088316,-1594.844807,-1413.495188,-1811.005415
0.335,-1400.998313,-1598.734303,-1408.93251,-1796.647939
0.34,-1395.889609,-1589.743584,-1399.044215,-1800.70573
0.345,-1394.939675,-1596.456704,-1405.028055,-1811.413064
0.35,-1389.363484,-1590.042776,-1397.802568,-1811.514041
0.355,-1402.935581,-1588.602914,-1404.568047,-1817.681136
0.36,-1392.654596,-1602.803314,-1401.048801,-1811.618758
0.365,-1383.794773,-1597.185984,-1402.185731,-1805.002875
0.37,-1385.361791,-1589.392033,-1402.20817,-1811.719736
0.375,-1383.200129,-1584.780736,-1398.221437,-1804.651325
0.38,-1386.480021,-1587.24533,-1390.102114,-1803.3461
0.385,-1393.335258,-1594.152926,-1397.72777,-1805.840613
0.39,-1392.88647,-1586.777843,-1396.24303,-1807.901298
0.395,-1402.471833,-1596.337027,-1416.80126,-1824.738327
0.4,-1391.244653,-1581.145554,-1404.908378,-1806.599812
0.405,-1391.622383,-1579.197066,-1400.540175,-1803.016988
0.41,-1385.702122,-1578.639821,-1394.432918,-1811.742175
0.415,-1383.791033,-1593.97341,-1386.373434,-1804.643845
0.42,-1384.576412,-1589.377073,-1388.860467,-1810.911917
0.425,-1376.113018,-1593.767716,-1389.88146,-1798.955457
0.43,-1374.115912,-1582.794849,-1385.307562,-1802.160551
0.435,-1379.093719,-1585.461398,-1394.148686,-1789.351394
0.44,-1382.78874,-1588.386,-1394.806908,-1792.47421
0.445,-1376.337412,-1579.357881,-1394.485277,-1799.867993
0.45,-1374.811533,-1581.758897,-1401.131079,-1808.002275
0.455,-1382.160436,-1576.78483,-1394.664792,-1791.176465
0.46,-1387.220521,-1585.917666,-1404.504469,-1801.034841
0.465,-1386.760513,-1581.811256,-1405.514242,-1803.230163
0.47,-1379.187216,-1587.069555,-1399.859513,-1801.360213
0.475,-1378.802006,-1585.319282,-1395.229517,-1796.629239
0.48,-1390.62009,-1592.339074,-1392.11044,-1802.22413
0.485,-1392.792972,-1592.900059,-1405.323507,-1804.598966
0.49,-1384.550233,-1580.857581,-1396.115873,-1801.730463
0.495,-1381.65181,-1592.062321,-1400.577574,-1799.142452
0.5,-1362.492303,-1580.034803,-1389.619667,-1800.129786
0.505,-1387.026046,-1585.783029,-1397.783869,-1801.191917
0.51,-1383.551679,-1583.741044,-1395.749363,-1797.377219
0.515,-1375.335119,-1588.786169,-1394.144946,-1788.147146
0.52,-1372.380598,-1576.242545,-1387.188732,-1789.942298
0.525,-1379.748201,-1578.142414,-1383.183299,-1785.364661
0.53,-1377.941829,-1577.072802,-1388.209725,-1797.223883
0.535,-1374.871371,-1589.934318,-1390.835134,-1805.747115
0.54,-1384.576412,-1590.98149,-1398.756243,-1794.605953
0.545,-1382.137997,-1606.075727,-1402.900052,-1798.544068
0.55,-1382.321252,-1587.189232,-1398.359813,-1801.562167
0.555,-1377.736135,-1586.018643,-1400.876766,-1797.111686
0.56,-1356.254149,-1575.520744,-1382.240844,-1804.46807
0.565,-1372.526454,-1583.823322,-1393.516643,-1805.425484
0.57,-1374.94243,-1581.003437,-1384.069655,-1790.892233
0.575,-1382.38483,-1583.759744,-1381.885554,-1784.324968
0.58,-1384.198682,-1595.319774,-1389.952518,-1786.49785
0.585,-1382.654103,-1589.556589,-1394.040229,-1790.020836
0.59,-1393.892503,-1592.952418,-1404.362353,-1801.191917
0.595,-1389.662676,-1581.814996,-1400.637412,-1803.263822
0.6,-1387.414996,-1582.02069,-1387.405646,-1799.108793
0.605,-1380.769194,-1575.838635,-1384.077135,-1789.822621
0.61,-1389.12039,-1589.444392,-1403.105746,-1799.699697
0.615,-1379.725762,-1576.508078,-1396.336527,-1796.737696
0.62,-1378.974042,-1587.600621,-1396.463684,-1793.719597
0.625,-1379.815519,-1583.109001,-1395.992456,-1797.388439
0.63,-1381.66677,-1593.154372,-1398.367293,-1801.266715
0.635,-1399.790325,-1585.483837,-1397.178005,-1804.954257
0.64,-1391.525146,-1576.724992,-1395.610987,-1809.782467
0.645,-1399.281698,-1593.434865,-1395.913919,-1815.538173
0.65,-1397.639882,-1588.75999,-1404.09682,-1804.097819
0.655,-1390.773426,-1586.684345,-1390.001137,-1803.555534
