relative_sec,EEG1,EEG2,EEG3,EEG4
0,-1367.198967,-1350.173072,-1235.760183,-1235.941568
0.005,-1374.215019,-1352.11782,-1229.043322,-1224.777967
0.01,-1379.147947,-1356.171872,-1229.432272,-1227.403376
0.015,-1371.900021,-1355.367793,-1230.591641,-1224.112264
0.02,-1365.037305,-1382.571825,-1241.605646,-1222.646224
0.025,-1367.000752,-1354.298182,-1246.71435,-1215.181383
0.03,-1369.087616,-1343.071002,-1230.707578,-1227.773626
0.035,-1359.618189,-1346.769763,-1216.896127,-1225.653103
0.04,-1359.760306,-1354.174765,-1221.612141,-1225.806439
0.045,-1350.489094,-1347.839375,-1219.177466,-1216.093919
0.05,-1353.006046,-1347.891733,-1217.045723,-1210.499029
0.055,-1353.656789,-1356.179351,-1222.876227,-1227.519313
0.06,-1343.001814,-1352.532949,-1216.825069,-1210.0839
0.065,-1359.128263,-1346.859521,-1219.888047,-1196.134073
0.07,-1358.275565,-1351.074388,-1211.533111,-1217.683376
0.075,-1341.636751,-1351.814888,-1226.941499,-1215.125285
0.08,-1339.695742,-1347.981491,-1227.360367,-1221.236281
0.085,-1348.533126,-1348.523776,-1218.567863,-1211.119852
0.09,-1346.173249,-1348.097428,-1225.471718,-1215.057967
0.095,-1320.274442,-1364.238836,-1209.150795,-1193.99111
0.1,-1322.537081,-1337.89872,-1198.514519,-1206.512295
0.105,-1304.121814,-1324.805331,-1194.497867,-1195.659105
0.11,-1283.642122,-1329.510125,-1187.201322,-1199.582261
0.115,-1285.317597,-1325.740306,-1175.042907,-1185.449179
0.12,-1291.032164,-1332.094396,-1186.255127,-1198.527609
0.125,-1296.645754,-1333.519298,-1190.432595,-1200.427478
0.13,-1309.223038,-1329.603622,-1195.462761,-1204.81812
0.135,-1315.648186,-1335.572503,-1201.704654,-1202.802314
0.14,-1319.279629,-1337.221799,-1200.754719,-1205.510002
0.145,-1316.407385,-1336.578536,-1204.348763,-1209.440637
0.15,-1327.903838,-1336.174627,-1204.352503,-1210.596266
0.155,-1321.396412,-1332.161714,-1201.940267,-1208.400945
0.16,-1303.115781,-1327.857089,-1201.880429,-1201.84864
0.165,-1315.838921,-1338.710279,-1196.367817,-1204.402992
0.17,-1327.83652,-1336.660814,-1201.730833,-1197.992803
0.175,-1318.224977,-1350.030956,-1203.058498,-1205.19959
0.18,-1327.297974,-1345.688932,-1210.343823,-1207.952157
0.185,-1325.136312,-1348.344261,-1202.785485,-1207.07328
0.19,-1314.118567,-1339.40964,-1200.650002,-1204.171118
0.195,-1313.434165,-1335.636081,-1201.84303,-1207.002222
0.2,-1321.46747,-1338.254011,-1207.116289,-1204.567547
0.205,-1325.151271,-1344.028417,-1201.214727,-1209.69495
0.21,-1325.267208,-1360.169825,-1207.740852,-1199.814134
0.215,-1325.794534,-1338.037097,-1210.239105,-1183.15288
0.22,-1321.519829,-1340.756004,-1201.584977,-1217.043853
0.225,-1331.20617,-1335.482745,-1206.099036,-1228.166316
0.23,-1325.132572,-1334.248578,-1202.852803,-1208.924531
0.235,-1336.973095,-1345.961945,-1212.984192,-1220.955789
0.24,-1328.591979,-1349.290456,-1211.136681,-1221.412057
0.245,-1330.181437,-1338.66914,-1212.662561,-1213.038421
0.25,-1327.245615,-1339.147847,-1207.632395,-1213.573226
0.255,-1321.497389,-1342.524977,-1198.148009,-1210.45415
0.26,-1335.140544,-1330.781691,-1212.767278,-1205.005115
0.265,-1341.569432,-1338.871094,-1216.578236,-1206.377659
0.27,-1340.649417,-1352.697505,-1207.482799,-1217.814273
0.275,-1337.863191,-1346.414473,-1201.768232,-1219.616905
0.28,-1340.671856,-1355.928778,-1210.422361,-1219.620645
0.285,-1334.018574,-1343.044823,-1210.025931,-1209.795927
0.29,-1364.423961,-1338.800036,-1200.71358,-1199.95999
0.295,-1373.949486,-1352.742383,-1210.515858,-1208.464523
0.3,-1422.960875,-1353.415565,-1204.509579,-1201.930918
0.305,-1450.355642,-1338.541983,-1211.058144,-1187.132134
0.31,-1428.092018,-1328.653688,-1216.323923,-1224.609671
0.315,-1411.026854,-1332.651641,-1203.178174,-1205.020075
0.32,-1382.192226,-1350.027216,-1213.006631,-1216.531487
0.325,-1373.983145,-1334.151341,-1219.835689,-1218.853965
0.33,-1354.034519,-1333.104169,-1212.191333,-1203.423138
0.335,-1326.048847,-1331.694226,-1195.171049,-1215.716189
0.34,-1340.671856,-1340.561529,-1201.121229,-1210.558867
0.345,-1361.413341,-1343.740444,-1203.881276,-1205.562361
0.35,-1334.837612,-1342.857828,-1201.031472,-1204.814381
0.355,-1337.062853,-1335.445346,-1198.708994,-1201.029602
0.36,-1362.516612,-1342.581075,-1206.671241,-1216.393111
0.365,-1365.018605,-1339.312403,-1205.773665,-1203.501676
0.37,-1346.251787,-1329.379228,-1204.236566,-1201.366193
0.375,-1362.374496,-1336.324223,-1203.952334,-1199.709417
0.38,-1367.636535,-1347.99645,-1213.911687,-1208.030695
0.385,-1341.045846,-1340.071602,-1206.551564,-1195.599267
0.39,-1343.076612,-1356.456104,-1201.783192,-1205.005115
0.395,-1363.488986,-1339.955665,-1208.376635,-1211.17595
0.4,-1334.127031,-1358.180198,-1194.591364,-1202.734996
0.405,-1328.689217,-1326.851056,-1203.578344,-1195.008363
0.41,-1324.605246,-1328.425554,-1196.031226,-1200.801468
0.415,-1332.055127,-1330.594696,-1200.773419,-1217.200929
0.42,-1330.607786,-1322.355696,-1203.798998,-1208.898351
0.425,-1336.935696,-1332.397328,-1206.832057,-1205.121052
0.43,-1348.245154,-1338.848655,-1201.786932,-1206.72173
0.435,-1343.577759,-1342.610994,-1210.590656,-1207.985816
0.44,-1348.192795,-1335.142414,-1202.22824,-1202.828494
0.445,-1373.882168,-1342.947585,-1207.288324,-1207.768902
0.45,-1356.465454,-1335.430387,-1204.539498,-1202.723777
0.455,-1333.539867,-1342.345462,-1196.008786,-1209.365839
0.46,-1328.816373,-1338.628001,-1200.904315,-1190.707478
0.465,-1332.515135,-1335.995111,-1207.677274,-1204.919098
0.47,-1343.443122,-1337.700506,-1211.619129,-1208.228909
0.475,-1335.278921,-1338.822476,-1206.790918,-1213.375012
0.48,-1340.626978,-1335.052657,-1212.991672,-1214.235189
0.485,-1342.582945,-1339.491918,-1211.054404,-1212.204423
0.49,-1339.456389,-1337.221799,-1204.902268,-1195.004623
0.495,-1342.186516,-1365.345846,-1211.95198,-1210.0652
0.5,-1347.953442,-1325.702907,-1220.452772,-1199.167132
0.505,-1336.816019,-1342.427739,-1219.757151,-1209.253642
0.51,-1339.961275,-1337.640667,-1223.411033,-1206.845146
0.515,-1336.146577,-1350.823815,-1211.218959,-1196.306108
0.52,-1327.017482,-1325.796404,-1201.667255,-1203.823307
0.525,-1339.755581,-1338.384907,-1205.799844,-1220.566839
0.53,-1350.492834,-1358.8459,-1206.32717,-1220.985708
0.535,-1326.075027,-1335.744538,-1202.172141,-1209.762268
0.54,-1324.919398,-1343.209378,-1212.475566,-1205.367886
0.545,-1334.444923,-1341.058936,-1208.731926,-1210.117559
0.55,-1320.281922,-1329.341829,-1202.086124,-1210.196097
0.555,-1323.157905,-1340.131441,-1209.506085,-1201.826201
0.56,-1327.533588,-1352.271156,-1220.434073,-1206.796528
0.565,-1343.241168,-1360.405438,-1225.800829,-1197.450518
0.57,-1341.2665,-1330.504938,-1224.245031,-1196.182691
